d18O,s.d. d18O,d2H,s.d. d2H,depth
-11.01776727,0.048232537,-79.19398443,0.54700547,1095
,,,,1085
-9.701445362,0.094254355,-69.57517503,0.557314147,1077
-10.91355794,0.038475088,-78.12350075,0.223204203,1065
,,,,1050
-9.488426509,0.04832351,-68.33552213,0.119996766,1048
-9.584883451,0.065562747,-68.73005806,0.381442358,1028
-9.645599967,0.095262431,-69.74041592,0.439985098,1013
,,,,1008
,,,,1008
-9.974016302,0.072754537,-71.43499257,0.630709791,992
-10.27992794,0.051538423,-73.94957367,0.61709073,972
,,,,943
-10.85680633,0.074845503,-76.58707336,0.295931413,937
,,,,905
-8.855439985,0.039251637,-63.47822598,0.326425918,875
-9.63976476,0.097353519,-68.60378385,0.620550579,840
,,,,823
,,,,823
-10.81693313,0.096943273,-76.21864149,0.456370015,812
-9.72527257,0.060337088,-69.62358414,0.555143082,795
-9.687477073,0.061930549,-70.00753709,0.585209231,780
-9.37396152,0.04537216,-66.20328583,0.20217665,762
,,,,758
-10.53381666,0.075060724,-75.89317595,0.318439367,738
-10.54424172,0.061691632,-75.59074027,0.252025536,716
-10.06114946,0.007187003,-70.40255088,0.166682298,693
-9.974372395,0.067690739,-70.51846306,0.393713956,674
,,,,673
-10.14464993,0.075644557,-71.33446181,0.521039461,657
,,,,638
-10.23918906,0.047314918,-73.95167836,0.531757099,634
-9.912203725,0.057420458,-70.07246665,0.784272103,614
-10.08737948,0.074553469,-70.82962039,0.5340407,599
,,,,593
-9.203380185,0.059702626,-65.8211982,0.28770419,582
-9.950998987,0.049781113,-71.30118783,0.16543422,568
,,,,553
-10.21851686,0.071210479,-70.92869801,0.795173073,553
-9.418222846,0.017599809,-65.94914244,0.181733021,534
-9.927971109,0.094860083,-71.11414783,0.725574609,519
,,,,513
-10.42733583,0.077662686,-73.59640745,0.696835063,499
-10.04076193,0.025702948,-70.60004128,0.243844928,484
-11.27862463,0.072313335,-78.23368955,0.60609503,478
-11.38812539,0.098977164,-80.09892404,0.547870041,454
-12.14608373,0.068327007,-84.22310147,0.455976386,434
-11.18469837,0.075009674,-78.36501852,0.433304938,419
,,,,396
-10.22290306,0.098589848,-71.68865195,0.31622351,396
-10.41337862,0.028826547,-74.36968777,0.285049611,381
-12.9434309,0.04564201,-90.85636449,0.055827465,362
-11.80446836,0.040824904,-84.27167279,0.538881396,330
-10.21277978,0.034327117,-73.14516242,0.1267716,300
