Spannagel Cave Stalagmite Oxygen Isotope Data and Temperature Reconstruction
---------------------------------------------------------------------
                NOAA Paleoclimatology Program
                               and
         World Data Center for Paleoclimatology, Boulder
---------------------------------------------------------------------
NOTE: PLEASE CITE ORIGINAL REFERENCE WHEN USING THIS DATA!!!!!


NAME OF DATA SET: 
Spannagel Cave Stalagmite Oxygen Isotope Data and Temperature Reconstruction

LAST UPDATE: 7/2005 (Original Receipt by WDC Paleo)
CONTRIBUTOR: Augusto Mangini, Heidelberger Akademie der Wissenschaften
IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2005-052

SUGGESTED DATA CITATION: Mangini, A., et al. 2005.
Spannagel Cave Stalagmite Oxygen Isotope Data and Temperature Reconstruction.
IGBP PAGES/World Data Center for Paleoclimatology 
Data Contribution Series #2005-052. 
NOAA/NGDC Paleoclimatology Program, Boulder CO, USA. 

ORIGINAL REFERENCE: Mangini, A., C. Spötl, and P. Verdes. 2005.
Reconstruction of temperature in the Central Alps during the past 2000 yr 
from a d18O stalagmite record.  
Earth and Planetary Science Letters, Vol. 235, Issues 3-4, Pages 741-751, 
15 July 2005.  doi:10.1016/j.epsl.2005.05.010 

ABSTRACT:
The precisely dated isotopic composition of a stalagmite from Spannagel Cave 
in the Central Alps is translated into a highly resolved record of temperature 
at high elevation during the past 2000 yr. Temperature maxima during the 
Medieval Warm Period between 800 and 1300 AD are in average about 1.7°C higher 
than the minima in the Little Ice Age and similar to present-day values. 
The high correlation of this record to d14C suggests that solar variability 
was a major driver of climate in Central Europe during the past 2 millennia. 

GEOGRAPHIC REGION: Austria, Central Europe 
PERIOD OF RECORD:  90 BC to 1935 AD

  
DESCRIPTION:   
The precisely-dated (Th/U, TIMS) isotopic composition of a stalagmite (delta 180) 
from Spannagel Cave in the Central Alps is translated into a highly resolved-record 
of temperature at high elevation during the past 2,000 years. 

Spannagel Cave, Austria: 47.0882N, 11.6715E, Surface elev. 2531m., sample elev. 2347m.
Stalagmite SPA 12, length 20 cm., collected 1998

DATA:
Column 1:  Age (Years BP from 2000 AD)
Column 2:  Calendar Year 
Column 3:  d18O (per mil VPDB)
Column 4:  Temperature Reconstruction (°C)


AgeBP    Cal.Year    del18O     Temp °C
   65       1935      -7.49        1.3
   68       1932      -7.41        1.1
   70       1930      -7.36       0.99
70.56       1929      -7.15       0.52
71.11       1929      -7.28       0.81
71.67       1928      -6.99       0.16
72.22       1928      -6.96       0.09
72.78       1927      -7.27       0.79
73.33       1927      -7.58        1.5 
73.89       1926       -7.6        1.5
74.44       1926      -7.62        1.6
   75       1925      -7.74        1.8
75.56       1924      -7.71        1.8
76.11       1924      -7.66        1.7
76.67       1923      -7.39        1.1
77.22       1923      -7.28       0.81
77.78       1922      -7.23        0.7
78.33       1922      -7.24       0.72
78.89       1921      -7.81          2
79.44       1921      -7.92        2.2
   80       1920      -7.51        1.3
81.11       1919      -7.54        1.4
82.22       1918      -7.59        1.5
83.33       1917      -7.95        2.3
84.44       1916      -7.78        1.9
85.56       1914      -7.57        1.5
86.67       1913      -7.19       0.61
87.78       1912      -7.64        1.6
88.89       1911      -7.36       0.99
   90       1910      -7.46        1.2
91.67       1908       -7.4        1.1
93.33       1907      -7.29       0.83
   95       1905      -7.01        0.2
96.67       1903      -7.16       0.54
98.33       1902       -7.6        1.5
  100       1900       -7.5        1.3
  102       1898      -7.64        1.6
  104       1896      -7.51        1.3
  106       1894      -7.84        2.1
  108       1892      -7.72        1.8
  110       1890      -7.47        1.2
112.5       1888      -7.45        1.2
  115       1885      -7.24       0.72
117.5       1883      -7.32        0.9
  120       1880      -7.12       0.45
  122       1878      -7.02       0.22
  124       1876      -7.08       0.36
  126       1874      -7.27       0.79
  128       1872      -7.14       0.49
  130       1870       -7.2       0.63
132.5       1868      -7.05       0.29
  135       1865      -7.26       0.76
137.5       1863      -7.27       0.79
  140       1860      -7.25       0.74
142.5       1858      -7.37          1
  145       1855      -7.39        1.1
147.5       1853      -7.41        1.1
  150       1850      -7.47        1.2
152.5       1848      -7.52        1.3
  155       1845      -7.39        1.1
157.5       1843      -7.35       0.97
  160       1840      -7.28       0.81
162.5       1838      -7.26       0.76
  165       1835      -7.34       0.94
167.5       1833       -7.6        1.5
  170       1830      -7.54        1.4
172.5       1828       -7.7        1.8
  175       1825      -7.69        1.7
177.5       1823      -7.63        1.6
  180       1820      -7.72        1.8
182.5       1818      -7.55        1.4
  185       1815      -7.38          1
